No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Forward P/E,PEG,P/S,P/B,P/C,P/FCF,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Short Float,Short Ratio,ROA,ROE,ROIC,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Avg Volume,Rel Volume,Beta,ATR,Volatility W,Volatility M,SMA20,SMA50,SMA200,50D High,50D Low,52W High,52W Low,RSI,Change from Open %,Gap,Recom,Price,Change %,Volume
1,A,Agilent Technologies Inc,Healthcare,Diagnostics & Research,USA,41.42B,28.93,21.78,2.14,5.62,5.63,23.56,32.69,281.97M,280.98M,0.34%,-0.23%,95.53%,1.17%,2.02%,2.58,11.00%,20.97%,13.08%,2.05,1.56,0.50,0.54,53.72%,24.09%,19.53%,-2.03%,-0.88%,13.42%,31.62%,15.94%,7.98%,2.20M,0.81,1.23,4.33,2.28%,2.77%,-2.96%,2.56%,11.67%,-10.27%,17.54%,-10.27%,35.61%,48.13,1.70%,0.95%,1.81,146.93,2.66%,"1,775,727"
2,AA,Alcoa Corp,Basic Materials,Aluminum,USA,12.74B,9.90,7.78,0.40,0.92,1.73,8.45,36.18,263.91M,262.49M,0.54%,-1.85%,83.51%,0.87%,4.64%,2.21,8.10%,19.10%,13.45%,1.53,0.92,0.30,0.30,14.20%,11.66%,9.33%,-5.47%,-5.78%,-30.04%,-26.80%,49.46%,-9.18%,5.53M,0.56,1.72,2.18,3.45%,3.94%,-4.39%,-0.65%,-16.70%,-12.33%,13.61%,-42.81%,57.15%,44.14,-0.96%,0.89%,1.94,48.26,-0.08%,"3,102,069"
3,AAA,Alternative Access First Priority CLO Bond ETF,Financial,Exchange Traded Fund,USA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.90,-,-,-,-,-,-,-,-,-,-,-0.74%,-0.38%,-0.22%,-0.56%,-0.70%,-0.58%,23.78K,0.59,0.03,0.09,0.47%,0.26%,-0.42%,-0.46%,-0.50%,-1.29%,0.18%,-1.29%,0.75%,40.32,-0.58%,0.04%,-,24.85,-0.54%,"13,982"
4,AAAA,Amplius Aggressive Asset Allocation ETF,Financial,Exchange Traded Fund,USA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.03,-,-,-,-,-,-,-,-,-,-,-0.61%,-0.87%,1.52%,13.20%,16.10%,12.06%,6.22K,0.42,0.89,0.17,0.21%,0.27%,-0.18%,0.59%,6.02%,-1.35%,3.97%,-1.35%,17.85%,50.56,-0.13%,0.79%,-,30.64,0.66%,"2,630"
5,AAAC,Columbia AAA CLO ETF,Financial,Exchange Traded Fund,USA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.00,-,-,-,-,-,-,-,-,-,-,0.15%,0.05%,0.30%,0.65%,-,0.20%,76.48K,0.00,-,0.01,0.00%,0.00%,-0.01%,0.10%,0.20%,-0.20%,0.58%,-0.42%,0.88%,53.39,0.00%,0.05%,-,20.09,0.05%,17
6,AAAD,PGIM AAA CLO Aggregate Duration ETF,Financial,Exchange Traded Fund,USA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.75,-,-,-,-,-,-,-,-,-,-,-0.71%,-1.17%,-2.34%,-,-,-2.02%,0.17K,0.63,-,0.09,0.00%,0.00%,-1.03%,-1.47%,-1.70%,-2.57%,-0.16%,-2.96%,-0.16%,28.87,0.00%,-0.16%,-,48.92,-0.16%,110
7,AAAP,Pacer Barings CLO Market Flex ETF,Financial,Exchange Traded Fund,USA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.17,-,-,-,-,-,-,-,-,-,-,0.12%,0.18%,-,-,-,1.11%,54.07K,0.01,-,0.03,0.12%,0.12%,0.06%,0.31%,0.38%,-0.20%,0.91%,-0.20%,1.40%,63.03,0.08%,-0.04%,-,25.40,0.04%,390
8,AAAU,Goldman Sachs Physical Gold ETF,Financial,Exchange Traded Fund,USA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.81,-,-,-,-,-,-,-,-,-,-,-2.82%,-1.54%,3.30%,-14.56%,19.34%,0.71%,1.47M,0.97,0.18,0.82,1.26%,1.33%,-2.64%,1.92%,-4.07%,-7.14%,9.65%,-21.68%,19.99%,47.34,-0.95%,1.50%,-,42.85,0.54%,"1,419,640"
9,AAC,Ares Acquisition Corp III,Financial,Shell Companies,USA,499.73M,-,-,-,-,-,151.43,-,39.50M,-,-,-,-,-,-,1.70,-,-,-,0.30,0.30,-,-,-,-,-,0.60%,-,-,-,-,1.20%,60.55K,1.03,-,0.06,0.20%,-,0.45%,0.45%,0.45%,-0.78%,1.20%,-0.78%,1.20%,-,-0.30%,0.89%,-,10.12,0.60%,"62,517"
10,AACG,ATA Creativity Global ADR,Consumer Defensive,Education & Training Services,China,37.81M,-,-,-,1.01,6.09,3.10,-,31.80M,8.84M,-,-,6.16%,-21.00%,0.15%,0.06,-10.59%,-86.43%,-75.90%,0.32,0.32,0.92,1.43,48.70%,-11.16%,-17.93%,-2.34%,-3.42%,-7.49%,-9.87%,-58.55%,11.20%,227.75K,0.02,1.09,0.08,9.25%,9.90%,-6.44%,-6.56%,-11.91%,-23.58%,8.54%,-65.93%,18.90%,45.19,-4.37%,-0.11%,1.00,0.88,-4.48%,"5,653"
